Id,content
10,这一年的11月12日，赵薇发行了新专辑《飘》，三天后，陈坤也发行了新专辑《渗透》，二人也都不遗余力地为彼此的作品吆喝，陈坤说：“在读大学的时候，赵薇就很喜欢唱歌，现在经过训练后，唱得比以前更好了，我听了她的那首新歌《渐渐》感觉很好，和她以前的风格完全不一样，感觉更女人，更成熟，更有味道了，如果不知道的话，我还以为是人家唱得呢。”而赵薇则说：“我听了他的唱片了，真的很好听，我还买了好几张送给我的几个朋友，大家都说不错。他本来就很会唱歌，大学的时候就是我们的‘歌神’。其实前两年我就跟他说可以出唱片了，他总说没有好的机会，在等待了那么久之后终于如愿了，我真的替他高兴。”
11,　　从1996年进入北影成为同窗开始算起，赵薇、陈坤认识了16年，他们是银幕上的好搭档，也是粉丝眼里的好朋友。赵薇首次执导筒拍摄的《致青春》一片，却让他俩屡次陷入“失和”、“闹掰”等传闻。他们俩的关系究竟怎样？是真的位置变了各有队友，还是从一开始就是粉丝一厢情愿地误会了他们并不存在的友情？
12,根据新规，重组上市的认定仍围绕实际控制人变更及标的资产各项指标展开。其中，对标的资产，新规从资产总额、营业收入、净利润、资产净额、新增发新股这五大维度，替换此前的单一指标（仅看资产总额），只要任一方面达到100%红线或公司主营业务发生根本变化，即达到重组上市的认定条件之一，大大压缩了规避空间。
13,1996年，赵薇以专业课成绩女生第一名的成绩考入北京电影学院表演系，男生第一名便是陈坤。赵薇在进入大学之前，有过演戏的经历，陈坤也当过驻唱歌手，同样有社会经历的二人很快成为好友。2004年陈坤受访时，谈及赵薇时曾称：“从刚进大学开始，我和赵薇就是好朋友。她是那种特别开朗的女生，和她在一起总能感觉到快乐。有一次，她跟我说，她担心我一个人呆着，会变得更孤单，更内向。她很照顾朋友，所以，我们的友谊可以保持那么久。”
14,再看欣龙控股，该公司于7月7日披露重组预案，拟以发行股份及支付现金方式购买王江泉、范冰合计持有的华卫药业100%股权，以及葛德州、孙伟合计持有的德昌药业70%股权，交易作价分别为6亿元、2.32亿元；同时，拟向蓝星金石、国傲远辉以及公司间接控股股东海南永昌和等三名对象发行股份募集配套资金不超过7.58亿元。
15,Seene的技术可以应用于许多场景，不过都是基于同样的区别性因素。Seene的应用在手机中可以扫描并建立起整体的3D模型，但是不像谷歌的Project Tango（让手机通过传感器和软件进行3D测绘）或者微软的Kinect（体感周边外设），Seene不需要特殊的红外线感应器以及多个摄像头。此外，它也不需要一个云备份来处理3D扫描和重建3D物体。所有的一切，只需要一台手机。如视频所示，你只需用手机对着脸部扫描数秒，就可以获得一张3D自拍照了。
16,Seene的工程师队伍由其联合创始人和CTO，San Hare所领导，他的博士研究方向就是集中于电脑视觉领域，具体到游戏中的技术实时应用。Hare的LinkedIn页面介绍说“Hare在关于运动结构和3D成像结构方面的移动领域视觉技术有着很深的积累”，此后他开发了Seene的主要功能，并且目前“我们还有更多的研究成果还没正式发布，如果你对此感兴趣可以联系我。”
17,最近一段时间周琦再次掉入了舆论漩涡：人们对于周琦能否在今年去打NBA的事情进行了很多的猜测，并且将前些天打热身赛时周琦的竞技状态不算很好与NBA选秀结果对他的影响联系起来。这些都是外界对于周琦的关注，但可能在无形中也会产生一些其他的负面效果：比如更多的压力会伴随在周琦左右，也可能会干扰到他备战里约奥运会等。
18,事情要从赵薇的导演处女作《致我们终将逝去的青春》说起，在圈内有着好人缘的赵薇，在拍电影时，就得到华语电影圈大拿导演关锦鹏、编剧李樯的支持，王菲也分文不取地为电影献唱主题曲，在拍片过程中，杨澜、韩红也友情客串。到了电影宣传期，圈内跟她熟或不熟的大小艺人们，也纷纷为电影吆喝，昔日同窗黄晓明更是拄着拐杖力挺，唯独陈坤对《致青春》未置一词，令关心二人友情的粉丝开始起猜测。陈坤的工作人员曾澄清二人并未闹掰，也表示好友的关心有很多种形式，不一定要公开吆喝才算是支持。
19,欣龙控股称，本次交易前，海南筑华持有公司16.73%股份，为直接控股股东，海南永昌和持有海南筑华77%股权，为间接控股股东。而本次交易完成后，海南筑华持股将稀释至12.23%，海南永昌和将通过参与配套募资直接持有公司9.46%股份，二者相加的表决权为21.69%，仍控制上市公司。因而，本次交易未导致上市公司的控制权发生变化（重组上市的另一认定条件），不触及重组上市。 
20,【环球网报道记者王欢】据《日本经济新闻》7月15日报道，本田与软银将共同开发使用人工智能(AI)的汽车驾驶辅助系统。该系统不仅能分析行驶数据，还能根据驾驶人的表情和声调分析用户的情绪和爱好，预测用户的行为模式，以对话形式迅速提供驾驶人想要的信息。新系统争取让汽车具备自我学习能力，像人类一样对话以及进行操作。
21,不过在这样的背景下，有这么一家叫做Pivotal的公司仍然一枝独秀，气淡神闲，在最新一轮融资中拿到由福特公司领投的2.53亿美元，估值则达到了28亿美元。原因何在？首先Pivotal虽然是家年轻的startup，却背景雄厚——它是由两家上市科技公司EMC和VMware（VMware于2003年被EMC收购）联合成立，“娘家”颇具实力；此外Pivotal定位是一家下一代云计算和大数据应用相结合的公司，正是切中两个市场热点；最后该公司不像其它创业公司那般“雷声大雨点小”，外头热闹囊中羞涩，它2016年的营收预计达到2亿美元。外界纷纷传言其即将上市。
22,因为硅谷大部分科技公司都对程序员每天到办公室的上班时间没有规定，所以，程序员们常常上午十点十一点才懒洋洋到达公司，然后慢吞吞泡杯咖啡，发几封邮件，一上午就这么过去了。（不要怀疑，真的就是这么松散！大部分公司还允许程序员每周一天在家办公。小探几位程序员朋友每天10点上班下午五点去健身然后下班好么！）
23,　1998年，电视剧《还珠格格》的爆红，令赵薇成为96班第一个走红的学生，两年后的陈坤才有机会接到令他走红的电视剧《像雾像雨又像风》，在这期间，因为二人在事业上的差距，一度令陈坤对这段友谊有些抗拒，直到他接开心结，在陈坤2012年出版的书《突然就走到了西藏》里，他这样写道：“我在车墩拍电视剧《像雾像雨又像风》，刚巧赵薇也在那拍《情深深雨蒙蒙》。中午我常去她的剧组吃饭。他们剧组吃的是湘菜，我们是上海菜，我喜欢吃辣的，所以老去她那蹭饭。到了中午的饭点，我就跑到赵薇的片场，一把抢过她的盒饭：‘快！给我菜吃！’当时她剧组里的人都觉得很诧异。因为赵薇很红，大家都捧着她，怎么来了一个毛小子，拿着她的饭就开始吃。赵薇就在一边傻呵呵地笑看着我吃，那种同学的感觉又回来了。
24,“克强节奏”持续4天，不仅在经贸领域收获颇丰，尤其令人印象深刻的是，总理以分秒计、夙夜在公，为国家利益辛劳奔忙的这20个瞬间。
25,通信功能的“互联汽车(Connected Car)”上。据推算，到2030年互联汽车将达到约7亿辆，占到全部乘用车的一半以上。本田将利用软银的学习人类情绪智能对话等技术。而软银希望借此扩大汽车相关业务。汽车将收集规模庞大的数据，与通信业务的联动步伐也将加快。
26,什么是“主要领导责任”、“重要领导责任”？今年1月1日起施行的新纪律处分条例对此作出规定：主要领导责任者，是指在其职责范围内，对直接主管的工作不履行或者不正确履行职责，对造成的损失或者后果负直接领导责任的党员领导干部；重要领导责任者，是指在其职责范围内，对应管的工作或者参与决定的工作不履行或者不正确履行职责，对造成的损失或者后果负次要领导责任的党员领导干部。
27,极客公园创始人、总裁张鹏在会上阐述了他对“幸福科技”的理解。他表示，随着中产阶级崛起，消费升级的到来，性价比能给人们带来的幸福感正在快速衰减，曾经被创业者奉为圭臬的“屌丝经济”也正在坍塌，随之而来的是人们对那些能够触动人、帮助人、解放人的创新科技产品的追求，以及那些可以带给人更多品质感和小众感的产品的热捧，一个关于“幸福”的科技时代已近到来。
28,说到网红，虽然最近和直播经常被捆绑炒作，但显然网红是不能和直播划等号的。其实在直播领域，网红是非常不具备代表性的，与大多数的网络主播依靠直播获利不同，不少网红在直播圈的主要目的是保持存在感，顺带推销一下自己的产品（包括商品和内容）。如果仔细观察你会发现，网红不论搞内容创业还是只单纯的卖卖衣服化妆品，她们的主要阵地是微博、淘宝和微信微商，尤其微博是她们电商的主要导流入口，也是宣传的主阵地。这是由于微博天然的信息传播优势，直播依靠的是强互动性，而这种互动是即时性的，意味着相同的信息只会传播一次，而微博是一个平台，且有很强的公共属性，相同的信息可以经历N此传播，所覆盖的人群更广，同时还可以将这种传播优势转化为渠道优势，进行向电商导流。加之微博庞大的用户数量和活跃人数，这一点不仅直播无法比拟，就连微信都难以做到。
29,通过车内配备的摄像头以及与驾驶人的对话，云智能技术将学习用户的使用习惯。该系统将可使用方言对话，为用户在经常走的道路附近推荐餐厅，通过传感器收集汽车位置及行驶数据，实现故障预报功能。此外，该系统还将具备替用户预约保养等驾驶助手功能。
30,由此，深交所在问询函中提出，欣龙控股应详细说明本次交易是否会导致主营业务发生根本变化；交易对手方王江泉、范冰、葛德州、孙伟以及配套募资认购方蓝星金石、国傲远辉中的两方或多方是否存在关联关系或一致行动人关系，交易完成后上市公司实际控制人是否会因此发生变更……综上，深交所明确要求欣龙控股补充披露本次交易是否构成新规中的重组上市；如果是，则是否符合相关规定，进而是否存在无法实施的风险。
31,　　生活报7月17日讯 每一个汽车“有本儿族”，都有一段难忘的考证岁月。来自哈尔滨市公安交通管理局驾管处的统计显示：哈市每年20万考取驾照的新手司机中，有1.4万名是60-70岁的老年人。相较于那些“记性好”、“反应快”的年轻人，老年驾考族们又有哪些囧事呢？
32,研究VR和医疗结合已经30多年的斯坦福大学教授 、行为神经科学家Walter Greenleaf在演讲中谈到，如何利用VR技术，并不仅仅是一个用于游戏、娱乐的问题，VR在医疗领域的应用潜能将会极大的改变，影响“我们人类社会的幸福感以及人们的生活”。他表示，VR和医疗的结合主要集中在以下4个方面：医学干预、临床诊断、医疗培训和健康保健。
33,但对于这些周琦的想法是怎么样的？我利用这次在昆山中国男篮打中欧男篮对抗赛时的机会与周琦做了一个较为细致的沟通。周琦用了“好多事情都赶在一起”来形容现在的状态：当他现在处于一个疲劳期、状态不是处于最佳的时候，关于新疆队、火箭队的各种消息又围绕在他的身边。“如果我要是没有参加之前的选秀，可能又会人说周琦就这样的状态，还能打奥运会吗？”周琦这样对我说。“所以，我根本不太会受到外界的声音的影响，因为没有谁比我更了解我自己的了。”而现在周琦最重要的事情就是尽快地调整状态，以打好里约奥运会。至于说今年到底打不打NBA的问题，周琦说：“如果能去NBA打会对我更好。但如果去不了，只能说明我的能力还不够。
34,　2008年电影《画皮》上映，这是赵薇、陈坤的首度合作，也是赵薇、陈坤及周迅的首度合作，这让陈坤也很开心，他称：“当时知道周迅演妖怪，后来又得知赵薇要扮演我老婆，觉得人生竟然如此玄妙。”他也对和好朋友合作非常期待：“我认为我、周迅和赵薇都是内心有力量的人，都是想要在演员这条道路上有所表达有所付出的人。我们在一起的时候或多或少会有一些奇妙的撞击，这是我们一个最好学习的过程。”
35,　　【案例】山东省青岛日报社党委原书记、青岛日报社社长、青岛报业传媒集团有限公司董事长蔡晓滨或许没有想到，自己虽拒收该报业集团人员的贿赂，但仍因单位多人违纪违法问题被给予党内严重警告处分。当该报业集团人员出现公款旅游、收受贿赂、瞒报收入、与他人发生不正当两性关系等问题时，蔡晓滨作为党委书记并未引起警惕，更未举一反三，严肃查纠。“独善其身”看似合法，却为腐败滋生蔓延埋下更大隐患。据新华社 
36,昨日，《中国共产党问责条例》（以下简称条例）正式发布。作为一部重要基础性党内法规，条例明确指出，各级党组织都在问责范围之内，对于失职失责，严重违反党的纪律、本身又不能纠正的党组织，应当予以改组；同时强调，问责对象的重点是“关键少数”，即党组织的主要负责人。
37,　中央党校党史教研部主任谢春涛、中央社会主义学院原副院长甄晓英等专家对新京报记者说，条例将党组织单独纳入到问责范围中，切中时弊。近几轮中央巡视发现，被巡视的党组织普遍存在党的领导弱化、党的建设缺失等问题。将各级党组织纳入问责对象之中，意味着问责不能只对下级，包括中央部委党组、省区市党委也要把自己摆进去。 
38,“我认为我们学到了很多。”谈及今年夏季联赛的收获，拉塞尔说道，“许多球员取得了进步，许多球员原地踏步，许多球员出现了退步。但是作为一支球队，我觉得我们正在成长，我们没有退步。这才是最重要的。” 
39,结果，这种以前不招人待见的机车牛仔裤，前两天被凯特王妃配着船鞋和衬衫这么一穿，立刻就上了热搜榜。而且这裤子还很便宜，是ZARA的，我们国内也就卖299吧，是他们2016春夏主打款之一。官方推荐的搭法更随性，踩双拖鞋就行👇
40,与周琦的采访是先从他在今年美国特训时说起的，那个时候周琦在美国做伤病的恢复，进行特训，而其中一个非常重要的事情就是，增加体重。对于周琦熟悉的人肯定知道，体重一直都是周琦最为希望能有所改善的方面。这个大个子，虽然在身高、弹跳、臂展等这些方面都有非常强劲的篮球天赋，但是在体重与对抗上一直都是“短板”。
41,其实这种裤子最早是完全上不了这种大场面的，因为初衷是设计给机车党穿的，最明显的特色是膝盖附近有褶皱处理，那是为了让骑车过程中一直弯曲的腿不至于绷着难受。
42,同时，深交所注意到，据业绩承诺，王江泉承诺华卫药业2016至2019年经审计的扣非后净利润分别应达2800万、5500万、8000万和1亿元；葛德州则承诺德昌药业2016至2018年经审计的扣非后净利润分别不低于3520万、3950万和4420万元。但是，截至目前两项标的资产的评估报表及盈利预测尚未完成，同时，承诺方王江泉、葛德州分别所持华卫药业、德昌药业股份均不足100%。因此，问询函要求欣龙控股补充说明上述安排的合理性，以及王江泉、葛德州是否具备相应的履约能力，将采取何种措施确保补偿方案实施等问题。(记者 严翠) 
43,　条例出台前，对党政干部问责主要依据中办、国办2009年6月30日印发的《关于实行党政领导干部问责的暂行规定》。该部规定确定了7种问责情形，“决策严重失误，造成重大损失或者恶劣影响的”；“对群体性、突发性事件处置失当，导致事态恶化，造成恶劣影响的”等等。与2009年的暂行规定相比，条例更加强调“聚焦政治责任”，“聚焦从严治党”。此前，中纪委书记王岐山在问责条例征求意见的座谈会上曾强调，要坚持问题导向，“抓住主要矛盾，尊崇党章、聚焦政治责任，围绕坚持党的领导、加强党的建设、全面从严治党开展问责”。 
44,知情人士称，日本软银集团股份有限公司(SoftBank Group Corp. ,9984.TO)已经同意以全现金方式收购英国芯片设计公司ARM Holdings PLC (ARMH)，该交易价值超过320亿美元。该知情人士称，预计这桩交易将于周一公布，标志软银进一步深入移动互联网领域。ARM生产连接移动设备的芯片，占有很高的市场份额。该知情人士又称，两家公司的董事会均已同意了该交易。（此消息来自道琼斯）
45,“全球范围内的投资异常活跃，中国也一样。在这个时候，我们得小心，什么地方是陷阱，什么地方是真的人工智能的未来。” 搜狗CEO王小川谈到了自己对人工智能“过热”的一些反思。他强调，人工智能的陷阱主要有两个，一是技术上存在缺陷，无论是自动驾驶还是语音识别，都存在技术上的缺陷；二是对于很多人工智能创业团队来讲，会存在“带着技术找市场”的问题，但在这个过程中还没找到市场就出局了，或者找到市场后，技术已经落后。
46,据海外媒体报道，麦当劳正在讨论出售中国内地和香港的门店的观测正浮出水面，中国的餐饮巨头和乳业企业等有意竞购。麦当劳此前刚刚提出加强中国业务，但在使用过期鸡肉问题和与其他餐饮连锁企业的竞争日益激化的背景下，麦当劳似乎希望通过与当地企业合作来求得生存。被认为有意参与竞购的企业包括在全球运营北京烤鸭连锁餐厅“全聚德”的中国全聚德集团的总公司、北京首都旅游集团、麦当劳的合作伙伴北京首都农业集团以及旗下有子公司运营餐饮店的中国化工集团等企业，预计出售额在20～30亿美元。（此消息来自日本经济新闻）
47,而无论是在国家队集训，还是在CBA新疆队时，为了能增加周琦的体重，或是让他的特能状况更好，都为他想了很多的办法：比如在国家队时有一段时间要监督着周琦晚上加餐，再像是在地方队时周琦有一个私人的体能师，帮他做恢复治疗等。
48,　　戏内的默契与信任也传染到了戏外。“拍完戏的时候，我们三个人大部分都在一起喝茶、聊天、看电影，为一个角色一起讨论甚至是争论，这是一种很难得的感觉。我觉得能不能成为真正的交心的朋友只源于信任，如果没有共同气场共同审美的人很难建立一个完全的信任。当我们开始信任一个人的时候，我们看到的是对方更多光芒的点，因为如果不是建立在信任的基础上，别人做得再好我们都排斥的，这是人的本性，而我们在彼此敞开心扉的时候，别人的不好都会去包容。”
49,条例明确了问责主体和对象。党的问责工作是由党组织按照职责权限，追究在党的建设和党的事业中失职失责党组织和党的领导干部的政治责任，包括主体责任、监督责任和领导责任。问责对象是各级党委（党组）、党的工作部门及其领导成员，各级纪委（纪检组）及其领导成员，重点是主要负责人。 
50,　随着科比的退役，拉塞尔看上去已经准备好成为湖人队的新领袖。正如沃顿说的，拉塞尔的训练态度和领导力在新秀赛季饱受质疑，但是他在这方面已经取得了明显的进步。 
51,依稀记得二三年前，依托社交软件的音频和短视频工具也曾火爆一时，在当时被不少人认为是下一个创业风口，然而，时过境迁，短视频早已不如当年流行，音频社交更是几乎销声匿迹，也不过只有几年的光景。所以，依照如此迅速的产品迭代速度，直播如何避免前辈们过把瘾就死的尴尬境遇，也是创业者和从业人员下一步要思考的问题。
52,　而在这次美国特训时增加体重必定是一个重要环节，周琦对我说：“就是科学地、有针对性地让我多吃。”周琦说，在那边每天基本上是要吃四到五次的饭，“都会为配备好每天吃的东西，根据每天的训练强度，身体消耗等。这些食物都会放在冰箱里，有时带回去热一下就能吃了。另外，每天训练前、后都会喝蛋白粉。”但周琦原本有个习惯就是在训练特别累后就不是特别爱吃饭，现在又是要每天都吃这么多顿饭，因此很多时候周琦是要强迫自己去吃。“有时真是会出现吃腻的情况，甚至是厌食。”周琦对我说。
53,条例注重与其他党内法规的协调衔接。条例是对党章规定的细化延伸，是对党内其他问责规定的归纳提炼。将制定条例与正在修订的党内监督条例、已经施行的党纪处分条例统筹考虑，与现行党内法规中有关问责规定相互衔接。党内法规中对有关处置措施已有明确规定的，如申诉方式、问责影响期等，条例不再重复。 
54,　　对于彼此在片中的评价，二人依然是不吝赞美之词，赵薇赞陈坤非常有男人味：“谁也没说将军就得高大威猛的。陈坤就是这样的人，我觉得他就是一朵丢在灰尘里都能绽放的花！”而陈坤也赞赵薇表现抢眼：“我看到赵薇在现场的努力，和从容的演技。我们每个人都在成长，每个好演员都会在一部戏中实现绽放和蜕变，我相信这部戏对赵薇同学来说是一次绽放。”
55,奇虎360董事长周鸿祎也针对当下火热的智能硬件、人工智能发表了看法。周鸿祎表示，眼前所谓的智能产业都被包括自己在内的业界大佬给忽悠了。“智能硬件和互联网虽然有很多的结合，事实上我们有些做智能硬件的过于强调互联网化服务而悖离了硬件的本质。”他强调，智能硬件创业者要忘掉估值，少些急功急利。
56,直播的另一个潜在问题在于，从诞生之际到如今经历了几轮热炒之后，其身上被寄托了太多自身难以驾驭的内容，这些功能本不是网络直播应该承担的，但是由于投机、资本、观众等多重因素，给直播赋予了看似更光明的前景，但一眼望去竟也看不到了下一步的准确方向。从大环境来说，直播的被热炒在于其出现的时间很微妙，从内容创业的角度来看，在微博大V热潮逐渐褪却，微信公众号大浪淘沙的恶劣环境下，微博、微信创业热逐渐开始退潮。这种形势下，无论是内容生产者还是资本方都亟需寻找下一个可能出现的风口来填补这种颓势，而直播的出现恰恰给了这些人机会。
57,　条例明确了问责方式方法。现有各类问责规定中，共有14种问责方式。条例将这些问责方式规范为对党组织的检查、通报、改组3种方式，对党的领导干部的通报、诫勉、组织调整或者组织处理、纪律处分4种方式。这些方式均在党内法规中有明确规定、在实践中经常使用。 
58,奥巴马政府正在研究一系列协议，将首次允许外国政府利用邮件搜索、窃听授权令来要求美国科技公司配合调查。这是围绕隐私、安全、犯罪和恐怖主义的全球辩论中的一个热议话题。奥巴马政府准备宣布与英国的首个此类协议。新规旨在让美国与其他国家共享犯罪和恐怖主义调查方面的数据，如果政府拟议的新规触礁，还可能导致提供网络服务的公司重新设置网络，把用户数据迁出美国，使联邦调查者拿不到数据。（此消息来自道琼斯）
59,刚刚通过科四考试的姜洪福，已经拿到驾照了。而这距离他到驾校报名学车只有3个多月。“咱和年轻人比，记忆力和反应力都不行，可只要刻苦，照样拿驾照。”62岁的姜大爷说，自己最初到驾校报名学车是因为儿女鼓励，可是一路学下来，尽管状况频发，但苦中有乐，甚至“觉得自己不老”的信心都增加了不少
60,赵薇的女儿小新是在2010年4月出生的，2009年9月，《花木兰》进入宣传期的时候，她应该是已经有三个月身孕了，陈坤一直很尽责地为赵薇保守这个秘密，为了不让媒体问及赵薇的婚事，他不惜撂狠话：“赵薇常跟我聊天，但聊了什么我也不会告诉你们！”被问及和赵薇关系如何时，他笑称自己可能比她和她老公的关系还要好，意识到差点说漏嘴，他又赶忙补救。那个时候，陈坤放话说要当赵薇孩子的干爹。就在第二年，赵薇为女儿摆满月酒，她只邀请了陈坤和王菲两位圈中人。
61,　　条例把责任落实到各级党委及党的工作部门。条例对党委（党组）、纪委（纪检组）及党的工作部门在问责中的职责作出明确规定，使责任不仅落实到党委（党组），也分解到组织、宣传等工作部门，体现了细化落实责任、层层传导压力的要求。 
62,欧洲航天局(European Space Agency)局长韦尔纳(Johann-Dietrich Worner)称，尽管美国国会仍强烈反对，他已再次提出邀请中国参与国际空间站项目的想法。韦尔纳在法恩伯勒航展期间接受采访时表示，不应关闭与中国合作的大门。他还说，即使中国正在建造自己的空间站，但他最近与中国政府官员的交流表明，中国仍对一些合作活动持开放态度。韦尔纳称，他已与美国国家航空航天局(U.S. National Aeronautics and Space Administration, 简称NASA)局长博尔登(Charles Bolden)讨论了中国参与空间站项目的可能。但美国国会甚至禁止NASA与中国官员提及此事。（此消息来自道琼斯）
63,以Facebook在移动直播上的谨慎为例，他们的直播目前只开放给了部分体育娱乐界的名人和媒体记者，其关键就在于这两部份人传递的信息是有价值的，是会被受众接受的。而更多的ugc的内容，本质上还是同一兴趣圈内的群体互动行为，有价值的信息很难传播出去，或者根本就没有什么值得传播的信息，这大概就是Facebook的直播功能在测试了近两年时间后仍然没有大规模开放的原因之一。
64,在《画皮2》开机的时候，赵薇、陈坤及周迅这个昔日的铁三角，就发生了微妙的变化，开机后不久就传出了赵薇与周迅不和的消息，尽管片方放出赵薇周迅的亲密照，但二人不和的传闻还是不胫而走。而此片的宣传，三位主演也都各自为政，5月的戛纳电影节，三大主演只有周迅一人现身；6月成都站的宣传，尽管两位女主角赵薇、周迅录了亲密互动的视频力证并无不和，但却只有陈坤独自现身；7月北京站的宣传，则是赵薇独自陪着导演乌尔善。赵薇和陈坤这个时候，更多的是在微博上互动，像2009年那样频繁的交往，再也没被媒体拍到过。
65,欧盟委员会向谷歌发出警告称，其网络广告业务涉嫌违反《欧盟竞争法》（相当于《反垄断法》）。继购物搜索、安卓系统之后，这是欧盟委员会第3次对谷歌发出警告。网络广告业务占谷歌销售额的90%，如果被确定违反相关法律，将产生巨大影响。欧盟委员会于14日向谷歌发出一份《异议告知书》，警告其涉嫌违反欧盟竞争法。这是欧盟反垄断程序的第1步。今后将由谷歌进行申诉，如果欧盟委员会最终认定谷歌违反法律，谷歌有可能面临着巨额罚单。欧盟委员会指出，谷歌涉嫌要求利用谷歌广告服务的第三方网站不得显示竞争对手的广告，以及为第三方网站显示竞争对手广告设置限制。（此消息来自日本经济新闻）
66,条例明确了问责内容和情形。条例规定对党的领导弱化、党的建设缺失、全面从严治党主体责任监督责任落实不到位、维护党的纪律不力、推进党风廉政建设和反腐败工作不坚决不扎实等6个方面失职失责行为，造成严重后果或者恶劣影响的，进行严肃问责。 
67,据一位赞助商评估机构的负责人透露，赞助商担心是为期3年的赞助过程里是否会出现核心球员离开的情况。斯蒂芬·库里和凯文·杜兰特在明年夏天都将成为自由球员，一旦无法夺冠，球队很可能陷入动荡导致阵容分崩离析，此外，勇士队球衣的赞助合同与他们的新球馆也有关联，但是新球馆的开放日期依然没有确定。
68,不难看出，传统的互联网巨头对于直播并不十分热衷，而真正重视直播则是以小米、乐视、360为代表的公司，这几家公司旗下的直播产品几乎都得到了创始人们不遗余力的推广，雷军、周鸿祎们不止一次的在各种场合中出现在小米和360的直播软件中。这些公司看中直播市场则是将移动直播与自己的品牌手机相结合，将移动直播作为其移动系统生态建设的一部分，同时把直播平台作为传递中介，将手机用户引导为主播和观众，又可以将吸引来观众引导向自己的终端产品。
